file,algorithm,avg_of_avg,best_global,avg_time
western,sahara.tsp,27697.043391322237,27601.17377449375,1038.6086
ireland.tsp,TABU,8528506.72175003,8415694.036050558,1054486.9241
zimbabwe.tsp,TABU,237623.09501558502,223681.52158548607,94134.6378
canada.tsp,TABU,3.6436817198771924E7,3.5607641303790055E7,475720.2599
canada.tsp,SA,1.6144614487090426E7,1.5749481577339558E7,427012.6382
egypt.tsp,TABU,6575202.380867959,6463876.615813375,758611.9848
oman.tsp,SA,1897179.4391443578,1805934.506322695,218222.3786
tanzania.tsp,TABU,1.441377393127083E7,1.417593047126938E7,772765.6993
djibouti.tsp,TABU,6731.964966616827,6659.431532931463,1456.2918
djibouti.tsp,SA,16953.270763759938,15367.008650827358,4460.7529
egypt.tsp,SA,7524703.223144737,7390818.529775225,659895.9057
ireland.tsp,SA,9526803.024460956,9328902.848168805,763758.4042
zimbabwe.tsp,SA,959554.9617885156,901681.3628754278,83099.5162
qatar.tsp,TABU,11040.484630005025,10541.691555396488,17228.3079
tanzania.tsp,SA,1.1084637972228229E7,1.077553973488511E7,680706.5224
western,sahara.tsp,32601.50401391652,29447.90523656972,3867.0277
qatar.tsp,SA,70485.23869504505,66639.39139144603,20124.9785
uruguay.tsp,TABU,185913.8235719828,179306.7176723958,76858.5736
oman.tsp,TABU,740524.838049972,699344.9043139411,242954.9921
uruguay.tsp,SA,839159.1287481148,790435.9386700795,71525.9414
